client_id,client_name,status,industry,assignee,due_date,start_date,date_created,date_updated,space,time_logged,Alternates,est_project_total,freight_gp,handled_by,labor_gp,potential_award_date,product_gp,project_total,RFI_due_date,RFP_due_date,revisions,sales_location,salesperson,Specsheets,Specifier,Vendor_partner_alts,Vendor_partner_base,sales_location_office
rfp00001,Transit Authority Operations Hub,LOST,Government,Olivia Bennett,2026-02-07 00:00:00,2026-01-22 09:00:00,2026-01-21 16:00:00,2026-02-25 14:39:54,Public Sector Bids,19,0,357119.54,30,Creative,35,2026-03-25 11:00:00,20,77122,2026-01-26 23:00:00,2026-02-07 00:00:00,1,ATLANTA,Daniel Moore,1,Savills,,HON; Humanscale,Atlanta
rfp00002,Vantage Dining Collective,SUBMITTED,Retail / Hospitality,William Wilson,2025-07-08 06:06:00,2025-06-03 21:06:00,2025-06-02 09:06:00,2025-07-09 20:08:46,RFP Team,47,0,1602383.81,16,Design,24,2025-08-08 17:06:00,8,1762513.77,2025-06-15 06:06:00,2025-07-08 06:06:00,4,TAMPA,Daniel Moore,1,CallisonRTKL,,Bernhardt; National; Humanscale; Davis Furniture,Tampa
rfp00003,Vantage Dining Collective,SUBMITTED,Retail / Hospitality,David Thompson,2025-10-09 10:16:00,2025-09-18 17:16:00,2025-09-17 09:16:00,2025-10-16 07:52:11,RFP Team,56,0,1719356.35,16,RFP Team,24,2025-12-15 00:16:00,8,1559202.51,2025-10-02 07:16:00,2025-10-09 10:16:00,3,ATLANTA,Liam Parker,0,Gensler,,KI; Allsteel,Atlanta
rfp00004,Summit Care Hospital,IN_REVIEW,Healthcare,Amelia Reed,2024-12-14 10:16:00,2024-11-17 00:16:00,2024-11-16 11:16:00,2024-12-11 05:35:57,Healthcare Bids,13,0,276648.88,20,Design,30,2025-01-06 19:16:00,10,300665.53,2024-12-03 09:16:00,2024-12-14 10:16:00,0,ATLANTA,Daniel Moore,1,HOK,,Stylex; Bernhardt; HON; Allsteel,Atlanta
rfp00005,Skyline Boutique Hotel,LOST,Retail / Hospitality,Amelia Reed,2024-08-26 01:00:00,2024-07-20 15:00:00,2024-07-20 10:00:00,2024-10-04 02:18:41,RFP Team,70,0,2296445.5,30,RFP Team,35,2024-10-22 10:00:00,20,291490,2024-08-04 00:00:00,2024-08-26 01:00:00,4,ORLANDO,Emily Taylor,1,CallisonRTKL,,Davis Furniture; Global,Orlando
rfp00006,Transit Authority Operations Hub,DRAFT,Government,Noah Walker,2025-11-30 17:25:00,2025-11-04 00:25:00,2025-11-02 16:25:00,2025-11-12 23:32:54,Public Sector Bids,72,0,3156486.3,14,Design,21,2026-01-31 07:25:00,7,3196567.63,2025-11-16 14:25:00,2025-11-30 17:25:00,7,NEW YORK,Grace Turner,0,IA Interior Architects,,Bernhardt; National; Haworth; Davis Furniture,New York
rfp00007,Paragon Logistics HQ,WON,Corporate Office,James Davis,2025-12-26 07:37:00,2025-12-12 17:37:00,2025-12-11 17:37:00,2026-01-02 18:17:44,Strategic Accounts,50,0,1281550.57,16,Design,24,2026-02-07 21:37:00,8,1463803.99,2025-12-18 05:37:00,2025-12-26 07:37:00,1,TAMPA,Daniel Moore,1,HKS,,KI; HON; Haworth,Tampa
rfp00008,Cedar Grove Library Commons,WON,Education,Olivia Bennett,2024-11-06 10:02:00,2024-09-29 20:02:00,2024-09-28 09:02:00,2024-12-03 21:00:28,Education Pursuits,42,1,726032.5,20,Design,30,2024-12-02 00:02:00,10,773496.73,2024-10-15 10:02:00,2024-11-06 10:02:00,3,ORLANDO,Logan Foster,0,Vocon,Via Seating; SitOnIt,Haworth; Humanscale; Global; HON,Orlando
rfp00009,Valley Pediatric Institute,IN_REVIEW,Healthcare,Lucas Martin,2025-04-21 16:50:00,2025-03-19 03:50:00,2025-03-18 13:50:00,2025-04-02 14:51:30,Healthcare Bids,63,1,1862423.38,16,Sales,24,2025-06-28 03:50:00,8,1828414.5,2025-03-25 15:50:00,2025-04-21 16:50:00,3,ORLANDO,Ava Jenkins,1,NELSON,Andreu World,Bernhardt; Global; Teknion,Orlando
rfp00010,Skyline Boutique Hotel,IN_REVIEW,Retail / Hospitality,Ethan Brooks,2025-09-11 19:55:00,2025-08-02 01:55:00,2025-07-31 14:55:00,2025-08-27 10:22:31,RFP Team,19,0,525902.53,20,Sales,30,2025-09-27 09:55:00,10,494898.85,2025-08-12 17:55:00,2025-09-11 19:55:00,1,NEW YORK,Mason Reed,0,IA Interior Architects,,HON; Kimball; Teknion; JSI,New York
rfp00011,Lattice Energy Headquarters,IN_REVIEW,Corporate Office,David Thompson,2025-04-21 16:11:00,2025-03-21 07:11:00,2025-03-20 10:11:00,2025-05-04 11:04:21,Strategic Accounts,31,1,736067.87,20,Sales,30,2025-06-07 06:11:00,10,677254.74,2025-03-31 16:11:00,2025-04-21 16:11:00,1,ATLANTA,Emily Moore,0,Savills,Beaufurn,KI; Teknion,Atlanta
rfp00012,State Revenue Annex,SUBMITTED,Government,William Wilson,2024-09-03 02:45:00,2024-08-04 15:45:00,2024-08-02 17:45:00,2024-09-18 14:50:48,Public Sector Bids,102,0,3839191.82,14,RFP Team,21,2024-10-04 13:45:00,7,3390543.57,2024-08-11 01:45:00,2024-09-03 02:45:00,6,HOLLYWOOD,Grace Turner,1,CallisonRTKL,,HON; National,Hollywood
